breed,breed_size,breed_group,avg_life_span_years,adaptability,adapts_well_to_apartment_living,good_for_novice_owners,sensitivity_level,tolerates_being_alone,tolerates_cold_weather,tolerates_hot_weather,all_around_friendliness,affectionate_with_family,kid_friendly,dog_friendly,friendly_toward_strangers,health_and_grooming_needs,amount_of_shedding,drooling_potential,easy_to_groom,general_health,potential_for_weight_gain,size,trainability,easy_to_train,intelligence,potential_for_mouthiness,prey_drive,tendency_to_bark_or_howl,wanderlust_potential,physical_needs,energy_level,intensity,exercise_needs,potential_for_playfulness,country_origin,height_min,height_max,weight_min,weight_max,life_span_min,life_span_max,avg_height,avg_weight,lat,long
English Toy Spaniel,Small,Companion Dogs,11,3,4,4,4,1,2,2,3.33,5,1,4,4,3.2,5,2,4,2,3,2,3.4,3,3,4,4,3,2,2.67,3,3,2,4,England,10,11,8,14,10,12,10.50000567,10.912869,52.5310214,-1.2649062
Entlebucher Mountain Dog,Very Large,Herding Dogs,12,2.8,1,2,4,3,4,2,4.33,5,5,3,2,3,3,1,5,3,3,3,4,3,4,4,4,5,3,4.67,5,4,5,5,Switzerland,16,20,45,65,10,13,18.00000972,54.564345,46.7985624,8.2319736
Estrela Mountain Dog,Very Large,Herding Dogs,13,2.6,1,3,2,3,4,3,4.33,5,5,3,2,3.2,4,3,2,4,3,4,3,4,5,2,1,3,1,3,3,3,3,3,Portugal,24,30,75,130,11,15,27.00001458,101.6770744,39.6621648,-8.1353519
Eurasier,Very Large,Companion Dogs,13,2.8,4,3,2,1,4,3,4,3,5,4,2,3.2,4,3,3,4,2,4,2.6,4,4,2,1,2,1,2.67,3,2,3,3,Germany,20,24,40,71,12,14,22.00001188,55.0714076,51.1638175,10.4478313
Field Spaniel,Large,Sporting Dogs,11,2.4,1,3,4,1,3,4,4.67,5,5,4,4,3,3,1,4,3,4,2,3.8,5,5,3,4,2,5,4.33,5,3,5,5,England,16,19,37,45,10,12,17.50000945,40.675239,52.5310214,-1.2649062
Fila Brasileiro,Very Large,Working Dogs,10,2,1,1,3,3,2,3,2.67,3,3,2,1,3.2,2,3,4,3,4,5,3.4,2,4,3,5,3,3,4,4,4,4,2,Brazil,24,30,90,180,9,12,27.00001458,133.930665,-10.3333333,-53.2
Finnish Lapphund,Large,Herding Dogs,14,3.8,4,4,4,2,5,2,5,5,5,5,4,3.2,3,1,4,4,4,3,4.2,5,5,4,4,3,4,4.67,5,5,4,5,Finland,17,20,33,53,12,15,18.50000999,42.659397,63.2467777,25.9209164
Finnish Spitz,Large,Sporting Dogs,14,3,3,3,3,1,5,3,5,5,5,5,3,2.8,4,1,2,4,3,3,3.6,3,4,3,3,5,4,4.67,5,4,5,5,Finland,15,20,20,35,12,15,17.50000945,27.2931956,63.2467777,25.9209164
Flat-Coated Retriever,Very Large,Sporting Dogs,11,2.6,1,2,5,1,4,4,5,5,5,5,5,3.4,3,2,4,4,4,3,3.8,4,5,3,3,4,4,4.67,5,4,5,5,England,22,24,55,70,10,12,23.00001242,61.9939144,52.5310214,-1.2649062
Fox Terrier,Medium,Terrier Dogs,12,3,3,3,3,3,3,4,3.67,4,4,3,3,2.2,2,1,2,4,2,2,4.2,5,5,3,5,3,3,5,5,5,5,5,England,14,15,15,19,10,15,15.0000081,16.865343,52.5310214,-1.2649062
French Bulldog,Medium,Companion Dogs,12,3.2,5,5,3,1,2,1,4.33,5,4,4,4,3,3,1,5,2,4,2,3,4,3,3,2,3,2,3,3,4,2,5,France,11,12,16,28,11,14,11.50000621,21.825738,46.603354,1.8883335
French Bullhuahua,Medium,Mixed Breed Dogs,12,2.8,4,3,3,2,2,4,3,4,3,2,3,3.6,3,2,4,4,5,1,3.4,3,3,4,3,4,2,3,3,3,3,4,United States of America,6,12,10,30,10,15,9.00000486,19.84158,39.7837304,-100.445882
French Spaniel,Very Large,Sporting Dogs,11,3.4,2,4,4,3,4,2,4.33,5,4,4,4,2.8,3,2,3,4,2,3,3,4,4,2,3,2,2,4,5,3,4,4,France,21,24,45,60,10,12,22.50001215,52.0731244,46.603354,1.8883335
Frenchton,Medium,Mixed Breed Dogs,14,3.6,5,5,3,2,3,3,5,5,5,5,5,3.6,4,3,5,4,2,2,3,4,4,2,2,3,3,3,3,3,3,5,United States of America,11,14,15,25,12,15,12.50000675,19.84158,39.7837304,-100.445882
Frengle,Medium,Mixed Breed Dogs,12,3.4,4,4,4,3,2,2,4.67,5,5,4,4,3.4,3,1,5,4,4,3,3,3,4,3,3,2,3,3.67,4,3,4,5,United States of America,8,15,18,30,10,15,11.50000621,23.809896,39.7837304,-100.445882
German Longhaired Pointer,Very Large,Sporting Dogs,12,2.6,2,2,3,3,3,2,4.33,5,4,4,4,3.6,2,3,5,4,4,4,3.2,4,4,2,3,3,4,4.33,5,3,5,3,Germany,23,28,60,71,11,14,25.50001377,64.9921976,51.1638175,10.4478313
German Pinscher,Large,Working Dogs,13,3.2,3,3,4,3,3,4,3.33,5,3,2,2,3.2,3,1,5,4,3,3,4,4,5,3,5,3,4,4.33,5,3,5,5,Germany,17,20,25,45,12,14,18.50000999,34.722765,51.1638175,10.4478313
German Shepherd Dog,Very Large,Herding Dogs,12,3.2,3,2,5,2,4,3,4,5,5,2,4,3.4,5,1,5,4,2,4,4.6,5,5,5,4,4,2,5,5,5,5,5,Germany,22,26,75,95,10,14,24.00001296,84.326715,51.1638175,10.4478313
German Shepherd Pit Bull,Very Large,Mixed Breed Dogs,11,2,1,1,4,1,3,3,4.67,5,5,4,4,3.8,5,1,5,4,4,4,4.6,5,5,5,4,4,3,5,5,5,5,5,United States of America,17,26,30,90,10,12,21.50001161,59.52474,39.7837304,-100.445882
German Shepherd Rottweiler Mix,Very Large,Mixed Breed Dogs,11,3.4,3,4,3,3,4,2,3.67,4,4,3,3,3.6,5,3,3,3,4,4,3.2,3,4,3,3,3,2,3.67,4,3,4,4,United States of America,22,28,75,115,9,13,25.0000135,94.247505,39.7837304,-100.445882
German Sheprador,Very Large,Mixed Breed Dogs,11,2.8,2,1,5,2,4,4,4.67,5,5,4,4,3.6,5,2,5,3,3,4,4,5,5,5,3,2,2,5,5,5,5,5,United States of America,20,27,60,95,10,12,23.50001269,76.8971456,39.7837304,-100.445882
German Shorthaired Pointer,Very Large,Sporting Dogs,14,2,1,2,4,1,2,4,4.67,5,5,4,3,3,2,2,5,3,3,3,4.4,5,5,4,5,3,5,4.33,5,3,5,5,Germany,21,25,45,70,12,15,23.00001242,57.0555656,51.1638175,10.4478313
German Spitz,Large,Companion Dogs,14,3,4,2,3,3,3,2,4,5,4,3,3,3,4,1,2,4,4,1,3.8,2,4,4,5,4,2,4,5,3,4,4,Germany,12,15,21,29,13,15,13.50000729,24.801975,51.1638175,10.4478313
German Wirehaired Pointer,Very Large,Sporting Dogs,13,2.8,2,3,4,2,3,4,3.67,5,3,3,2,3,2,2,4,4,3,4,4,4,5,4,4,3,5,4.67,5,4,5,5,Germany,22,26,60,70,12,14,24.00001296,64.485135,51.1638175,10.4478313
Giant Schnauzer,Very Large,Working Dogs,11,2.4,1,1,4,2,4,2,3.67,5,3,3,2,2.8,4,1,2,4,3,4,4,5,4,3,4,4,4,4,5,2,5,5,Germany,23,27,55,80,10,12,25.0000135,66.9763556,51.1638175,10.4478313
Glen of Imaal Terrier,Large,Terrier Dogs,14,3,4,2,3,3,3,4,4,5,5,2,3,3,1,1,5,5,3,1,4,4,4,3,5,4,3,4.33,4,5,4,4,Ireland,12,14,32,40,12,15,13.00000702,34.722765,52.865196,-7.9794599
Goberian,Very Large,Mixed Breed Dogs,12,2.6,1,2,3,2,5,2,4,4,4,4,2,3.2,2,1,5,4,4,4,3.2,2,5,3,4,2,4,4.67,5,4,5,4,United States of America,20,24,45,90,10,15,22.00001188,66.9763556,39.7837304,-100.445882
Goldador,Very Large,Hybrid Dogs,12,3.6,2,4,3,4,5,4,5,5,5,5,5,3.2,3,2,4,4,3,4,2.6,4,5,2,1,1,4,5,5,5,5,5,United States of America,22,24,60,80,10,15,23.00001242,69.44553,39.7837304,-100.445882
Golden Cocker Retriever,Large,Mixed Breed Dogs,14,2.4,1,4,4,1,2,4,4.33,5,4,4,3,3.4,4,1,4,4,4,3,3,4,4,2,2,3,4,3.67,5,2,4,5,United States of America,20,24,30,45,12,15,22.00001188,37.2139856,39.7837304,-100.445882
Golden Mountain Dog,Very Large,Mixed Breed Dogs,12,2.4,1,2,2,2,5,1,4.67,5,5,4,3,3.4,4,4,2,3,4,5,3,4,4,2,2,3,4,3.67,4,2,5,5,United States of America,24,28,75,120,9,15,26.00001404,96.7387256,39.7837304,-100.445882
Golden Retriever,Very Large,Sporting Dogs,11,2.8,2,3,5,1,3,3,5,5,5,5,5,3.6,5,4,2,2,5,3,4.2,5,5,5,3,3,2,4,5,2,5,5,Scotland,21,24,55,75,10,12,22.50001215,64.485135,56.7861112,-4.1140518
Golden Retriever Corgi,Very Large,Mixed Breed Dogs,12,3.2,3,4,3,3,3,3,4.67,5,5,4,4,3.4,4,3,3,3,4,3,3.2,4,4,3,2,3,2,3.33,4,3,3,5,United States of America,10,18,30,75,10,13,14.00000756,52.0731244,39.7837304,-100.445882
Golden Shepherd,Very Large,Mixed Breed Dogs,12,3,2,2,5,1,5,4,4.33,5,5,3,5,3,5,2,2,3,3,5,4.2,5,5,5,3,3,2,4.33,5,3,5,5,United States of America,20,26,55,85,10,14,23.00001242,69.44553,39.7837304,-100.445882
Goldendoodle,Very Large,Hybrid Dogs,12,3,1,4,4,3,3,3,5,5,5,5,4,2.6,2,1,4,3,3,4,2.8,4,5,1,1,3,3,4,4,3,5,5,United States of America,20,24,50,90,10,15,22.00001188,69.44553,39.7837304,-100.445882
Gollie,Very Large,Mixed Breed Dogs,14,2.6,1,4,3,2,3,3,4.67,5,5,4,4,3.2,4,2,3,3,4,3,2.8,4,4,2,2,2,4,4,5,3,4,5,United States of America,22,26,50,75,12,15,24.00001296,61.9939144,39.7837304,-100.445882
Gordon Setter,Very Large,Sporting Dogs,11,2.8,2,3,4,1,4,3,3.33,5,3,2,3,3.4,5,3,2,4,3,3,4.4,5,5,3,4,5,4,4,5,2,5,5,Scotland,23,27,45,80,10,12,25.0000135,61.9939144,56.7861112,-4.1140518
Great Dane,Very Large,Working Dogs,8,2,1,1,5,1,2,3,5,5,5,5,5,4,5,4,5,4,2,5,3.4,5,3,2,3,4,3,5,5,5,5,5,Germany,26,34,100,200,7,10,30.0000162,148.81185,51.1638175,10.4478313
Great Pyrenees,Very Large,Working Dogs,11,2.8,1,1,4,3,5,3,4.33,5,4,4,3,3.4,5,2,4,2,4,5,3.4,1,4,2,5,5,5,5,5,5,5,4,France,25,32,85,160,10,12,28.50001539,121.5186544,46.603354,1.8883335
Greater Swiss Mountain Dog,Very Large,Working Dogs,8,3,1,2,4,3,5,1,5,5,5,5,3,3,3,1,5,2,4,5,3.4,3,3,3,4,4,3,4,5,4,3,5,Switzerland,23,28,85,140,7,9,25.50001377,111.5978644,46.7985624,8.2319736
Greyador,Very Large,Mixed Breed Dogs,12,2.4,3,2,5,1,1,3,5,5,5,5,5,4.6,5,4,5,4,5,4,4.2,3,5,5,4,4,4,4,4,4,4,4,United States of America,21,27,50,80,11,13,24.00001296,64.485135,39.7837304,-100.445882
Greyhound,Very Large,Hound Dogs,14,2.6,4,2,5,1,1,5,4.67,5,5,4,5,4.6,4,5,5,4,5,4,4.2,5,5,4,5,2,5,4.33,5,3,5,4,Egypt,25,30,50,85,12,15,27.50001485,66.9763556,26.2540493,29.2675469
Hamiltonstovare,Very Large,Hound Dogs,16,3,3,2,4,3,3,3,4,5,4,3,3,2.6,1,1,4,4,3,3,3.4,3,4,2,5,3,2,4,5,3,4,4,Sweden,19,24,40,75,14,17,21.50001161,57.0555656,59.6749712,14.5208584
Hanoverian Scenthound,Very Large,Working Dogs,13,2.6,2,1,4,3,3,3,4.67,5,5,4,3,2.8,2,1,4,4,3,4,3,2,4,2,4,3,2,3.67,4,3,4,4,Germany,19,22,80,100,12,14,20.50001107,89.28711,51.1638175,10.4478313
Harrier,Very Large,Hound Dogs,11,2.4,1,3,2,3,3,4,4.67,4,5,5,5,3.4,3,1,5,5,3,3,3.4,2,4,3,4,4,5,4.67,5,4,5,5,England,19,21,45,60,10,12,20.0000108,52.0731244,52.5310214,-1.2649062
Havanese,Small,Companion Dogs,14,3.6,5,5,4,1,3,4,4.67,5,4,5,5,2.2,2,1,1,3,4,2,3.6,5,4,3,4,2,2,2.67,3,2,3,5,Cuba,8,11,7,13,12,15,9.50000513,9.92079,23.0131338,-80.8328748
Havapoo,Medium,Mixed Breed Dogs,12,3.6,5,5,4,1,3,4,4.33,5,4,4,4,2,1,1,1,3,4,2,3.6,5,5,3,3,2,3,2.67,3,2,3,5,United States of America,8,15,7,30,10,14,11.50000621,18.3644846,39.7837304,-100.445882
Hokkaido,Very Large,Working Dogs,12,3,3,2,2,3,5,2,3.67,4,4,3,3,3,4,2,1,5,3,3,3.4,3,4,3,4,3,3,2.67,3,2,3,3,Japan,18,22,45,65,11,13,20.0000108,54.564345,36.5748441,139.2394179
Horgi,Large,Mixed Breed Dogs,14,2.8,2,2,4,2,4,3,4.67,5,5,4,5,3,4,2,3,3,3,2,3.8,4,4,4,4,3,3,3.67,4,3,4,4,United States of America,12,15,20,50,12,15,13.50000729,34.722765,39.7837304,-100.445882
Hovawart,Very Large,Working Dogs,12,2.4,1,2,3,2,4,3,3.33,4,4,2,2,3,3,1,4,4,3,4,2.4,2,4,2,2,2,2,4,4,4,4,4,Germany,23,29,55,110,10,14,26.00001404,81.8354944,51.1638175,10.4478313
Huskita,Very Large,Mixed Breed Dogs,12,2.6,2,1,4,1,5,3,3,5,2,2,3,3,4,3,1,4,3,4,3.4,2,3,3,4,5,5,4.33,4,4,5,5,United States of America,22,25,50,75,10,13,23.50001269,61.9939144,39.7837304,-100.445882
Huskydoodle,Very Large,Mixed Breed Dogs,12,2.6,2,2,3,2,4,3,4,4,4,4,3,3.2,3,2,3,4,4,3,3.4,3,5,3,4,2,2,4.67,5,4,5,4,United States of America,12,25,40,60,10,14,18.50000999,49.60395,39.7837304,-100.445882
Ibizan Hound,Very Large,Hound Dogs,12,3,5,3,4,2,1,4,5,5,5,5,4,2.8,3,1,5,4,1,3,3.4,3,4,3,5,2,5,4.33,5,3,5,5,Spain,22,27,45,50,10,14,24.50001323,47.1347756,39.3260685,-4.8379791
Icelandic Sheepdog,Large,Herding Dogs,14,2.4,1,1,3,2,5,3,3.33,4,4,2,2,2.6,5,1,1,3,3,3,3,3,4,3,4,1,4,4.33,4,5,4,4,Iceland,16,18,20,30,14,15,17.00000918,24.801975,64.9841821,-18.1059013
Irish Red And White Setter,Very Large,Sporting Dogs,12,2.6,1,3,4,1,4,3,4.33,5,4,4,4,2.2,3,1,3,2,2,3,3.6,4,4,4,3,3,4,5,5,5,5,5,Ireland,22,26,50,70,10,14,24.00001296,59.52474,52.865196,-7.9794599
Irish Setter,Very Large,Sporting Dogs,13,2.8,1,3,4,2,4,3,5,5,5,5,5,2.8,4,2,3,2,3,4,4.6,4,5,5,5,4,5,4.33,5,3,5,5,Ireland,25,27,60,70,11,15,26.00001404,64.485135,52.865196,-7.9794599
Irish Terrier,Large,Terrier Dogs,14,2.8,3,2,3,2,4,4,3.67,5,5,1,3,3,4,1,2,5,3,3,2.4,1,4,1,2,4,3,4.33,5,4,4,5,Ireland,18,20,25,27,12,16,19.00001026,25.794054,52.865196,-7.9794599
Irish Water Spaniel,Very Large,Sporting Dogs,11,3.2,3,2,4,3,4,4,4.67,5,5,4,5,2.2,1,2,3,2,3,3,4.2,5,4,3,5,4,3,4.33,5,3,5,4,Ireland,21,24,45,65,10,12,22.50001215,54.564345,52.865196,-7.9794599
Irish Wolfhound,Very Large,Hound Dogs,7,2.4,1,2,3,2,4,2,5,5,5,5,5,2.2,3,1,3,1,3,5,3.2,3,4,3,5,1,3,2.67,2,2,4,4,Ireland,32,35,115,180,6,8,33.50001809,146.3426756,52.865196,-7.9794599
Italian Greyhound,Small,Companion Dogs,14,3.4,5,5,5,1,1,3,4.67,5,5,4,4,2.6,2,1,5,3,2,2,3.6,3,3,4,5,3,3,3.33,4,2,4,4,Italy,13,15,6,15,14,15,14.00000756,10.4278526,42.6384261,12.674297
Jack-A-Poo,Medium,Mixed Breed Dogs,14,3.6,4,4,4,2,4,4,5,5,5,5,4,2.4,2,1,2,3,4,2,4,4,5,4,4,3,4,4.67,5,4,5,5,United States of America,10,16,13,25,12,15,13.00000702,18.849501,39.7837304,-100.445882
Jack Chi,Medium,Mixed Breed Dogs,16,2.8,4,2,3,3,2,4,4.33,4,5,4,3,3.4,2,2,5,4,4,2,2.8,2,4,2,4,2,4,4,4,4,4,5,United States of America,12,15,8,18,13,18,13.50000729,12.897027,39.7837304,-100.445882
Jack Russell Terrier,Medium,Terrier Dogs,12,3,3,2,3,3,4,3,4.67,5,4,5,4,3,3,1,3,4,4,2,4.4,4,5,4,5,4,4,5,5,5,5,5,England,10,15,13,17,10,15,12.50000675,14.881185,52.5310214,-1.2649062
Jackshund,Medium,Mixed Breed Dogs,14,3,4,2,3,3,3,3,4.33,5,4,4,3,3,3,1,3,3,5,2,4.4,3,5,4,5,5,5,4,4,4,4,5,United States of America,8,23,15,28,12,15,15.50000837,21.3407216,39.7837304,-100.445882
Japanese Chin,Small,Companion Dogs,12,3.2,5,4,3,1,3,2,3,3,3,3,4,2.6,3,1,3,3,3,1,3.2,3,3,4,3,3,1,1.67,2,1,2,4,Japan,8,11,4,9,10,14,9.50000513,6.4374904,36.5748441,139.2394179
Japanese Spitz,Medium,Companion Dogs,13,3.4,4,4,3,2,4,3,4.33,4,5,4,2,2.6,3,1,4,3,2,2,3.2,4,4,2,2,4,2,2.67,3,2,3,4,Japan,10,16,11,20,10,16,13.00000702,15.3882476,36.5748441,139.2394179
Korean Jindo Dog,Very Large,Sporting Dogs,14,3,3,2,3,2,5,2,3.67,5,3,3,4,2.6,5,1,1,4,2,3,3.5,2,5,2,5,NA,5,4.33,4,4,5,4,Korea,19,21,35,60,12,15,20.0000108,47.1347756,36.638392,127.6961188
Kai Ken,Large,Companion Dogs,14,2.6,2,2,2,3,4,3,3.67,4,4,3,2,3,4,2,2,4,3,3,3.4,3,5,2,5,2,3,4.67,5,4,5,3,Japan,17,22,25,45,12,16,19.50001053,34.722765,36.5748441,139.2394179
Karelian Bear Dog,Very Large,Working Dogs,12,2.8,2,1,4,2,5,3,2.67,4,3,1,2,2.8,3,1,4,4,2,3,3.8,2,4,4,5,4,5,4.33,4,5,4,4,Finland,19,24,44,50,10,13,21.50001161,46.627713,63.2467777,25.9209164
Keeshond,Large,Companion Dogs,14,3.8,4,4,5,1,5,3,4.67,5,5,4,4,3.2,5,1,3,3,4,3,3.6,4,4,3,3,4,2,3.33,4,3,3,5,Netherlands,16,19,35,45,12,15,17.50000945,39.68316,52.2434979,5.6343227
Kerry Blue Terrier,Large,Terrier Dogs,14,3,3,2,3,3,4,3,3.33,4,4,2,5,2,1,1,2,3,3,3,3.8,4,4,4,3,4,3,4.33,4,4,5,4,Ireland,17,19,33,40,12,15,18.00000972,36.1998604,52.865196,-7.9794599
King Shepherd,Very Large,Hybrid Dogs,10,3.4,4,2,4,2,5,4,4.33,4,4,5,4,3.8,4,4,4,3,4,5,3.2,4,5,3,2,2,3,3.33,3,3,4,4,United States of America,25,31,75,150,10,11,28.00001512,111.5978644,39.7837304,-100.445882
Kishu Ken,Very Large,Working Dogs,11,3.2,3,2,3,3,5,3,2.67,3,3,2,2,3.2,4,2,3,4,3,3,3.2,4,5,2,4,1,2,3.33,3,3,4,2,Japan,17,22,30,60,9,13,19.50001053,44.643555,36.5748441,139.2394179
Komondor,Very Large,Working Dogs,11,2.4,2,1,4,1,4,3,3,5,3,1,1,2.4,3,2,2,2,3,4,3.6,4,4,3,2,5,4,2.33,2,1,4,4,Hungary,25,27,80,100,10,12,26.00001404,89.28711,47.1817585,19.5060937
Kooikerhondje,Medium,Sporting Dogs,13,3.4,4,3,4,2,4,3,2.33,3,2,2,2,2.8,3,1,2,5,3,3,2.8,1,4,3,3,3,3,4.67,4,5,5,4,Netherlands,14,16,20,25,12,14,15.0000081,22.3107544,52.2434979,5.6343227
Kuvasz,Very Large,Working Dogs,11,2.6,1,1,5,1,5,2,2.67,5,1,2,1,3.8,4,3,4,4,4,5,2.2,2,4,1,1,3,3,4.33,4,4,5,4,Hungary,26,30,70,115,10,12,28.00001512,91.7562844,47.1817585,19.5060937
Kyi-Leo,Small,Mixed Breed Dogs,14,4.2,5,4,3,4,5,2,4.67,5,5,4,3,2.2,2,1,2,3,3,2,3,3,3,4,1,4,2,3,4,3,2,4,United States of America,8,12,8,14,13,15,10.0000054,10.912869,39.7837304,-100.445882
Lab Pointer,Very Large,Mixed Breed Dogs,12,2.6,1,4,3,1,4,4,4,5,4,3,4,3.2,2,2,4,4,4,4,3.4,5,4,2,4,2,4,4.33,5,3,5,4,United States of America,22,28,35,80,10,15,25.0000135,57.0555656,39.7837304,-100.445882
Labernese,Very Large,Mixed Breed Dogs,9,3,2,4,4,1,4,2,4.33,4,5,4,3,3.2,4,3,3,2,4,4,3,3,4,3,3,2,4,3.33,4,2,4,5,United States of America,24,28,65,110,6,12,26.00001404,86.8179356,39.7837304,-100.445882
Labmaraner,Very Large,Mixed Breed Dogs,11,2.6,1,4,4,1,3,3,4.33,4,5,4,3,3,1,2,4,4,4,4,3.4,4,4,3,3,3,4,4,4,3,5,5,United States of America,21,24,60,100,10,12,22.50001215,79.36632,39.7837304,-100.445882
Labrabull,Very Large,Mixed Breed Dogs,12,2.4,2,2,4,1,3,3,4,5,5,2,5,3.6,5,2,5,3,3,4,4.2,5,5,5,3,3,4,4.67,5,5,4,5,United States of America,20,24,45,90,10,14,22.00001188,66.9763556,39.7837304,-100.445882
Labradane,Very Large,Mixed Breed Dogs,10,2.4,1,2,3,2,4,4,4.67,5,5,4,3,3.4,2,3,4,4,4,5,2.6,3,4,2,3,1,3,3.33,4,2,4,5,United States of America,24,30,100,180,8,12,27.00001458,138.89106,39.7837304,-100.445882
Labradoodle,Very Large,Hybrid Dogs,13,3.8,3,4,3,4,5,4,4.67,5,4,5,5,3,3,1,4,4,3,4,2.6,4,4,1,2,2,3,4.67,5,4,5,5,Australia,21,24,50,65,12,14,22.50001215,57.0555656,-24.7761086,134.755
Labrador Retriever,Very Large,Sporting Dogs,11,2.8,1,3,5,2,3,3,5,5,5,5,5,4.2,5,3,5,3,5,4,4.2,5,5,5,2,4,3,5,5,5,5,5,Canada,21,24,55,80,10,12,22.50001215,66.9763556,61.0666922,-107.991707
Labrastaff,Very Large,Mixed Breed Dogs,12,2.4,2,2,4,1,3,3,3.67,4,4,3,4,3.6,4,3,3,4,4,4,3,2,4,3,3,3,4,3.67,4,3,4,4,United States of America,17,24,40,80,10,14,20.50001107,59.52474,39.7837304,-100.445882
Labsky,Very Large,Mixed Breed Dogs,11,2.6,2,2,2,2,5,1,4,5,4,3,3,3,4,2,2,3,4,4,4,4,5,3,4,4,4,4.67,5,4,5,5,United States of America,20,28,40,60,10,12,24.00001296,49.60395,39.7837304,-100.445882
Lagotto Romagnolo,Large,Sporting Dogs,16,3.2,2,4,3,3,4,3,3,3,3,3,3,2.2,1,2,1,4,3,2,3.4,4,4,2,4,3,3,3.33,4,2,4,4,Italy,14,19,24,35,14,17,16.50000891,29.2773536,42.6384261,12.674297
Lakeland Terrier,Medium,Terrier Dogs,14,3.2,4,3,3,2,4,4,4,5,4,3,3,2.6,2,1,2,5,3,2,3,2,4,1,4,4,3,4.33,5,4,4,4,England,13,14,15,17,12,15,13.50000729,15.873264,52.5310214,-1.2649062
Lancashire Heeler,Medium,Herding Dogs,12,2.6,2,2,3,3,3,3,3.33,4,3,3,2,3.2,3,1,4,4,4,1,2.6,3,4,2,2,2,4,3.67,4,4,3,4,England,10,12,13,15,9,14,11.00000594,13.889106,52.5310214,-1.2649062
Leonberger,Very Large,Working Dogs,11,2.6,1,1,4,2,5,1,4,5,4,3,2,3.4,5,3,4,1,4,5,3.2,2,3,4,4,3,2,4,4,4,4,4,Germany,25,31,120,170,10,12,28.00001512,143.851455,51.1638175,10.4478313
Lhasa Apso,Medium,Companion Dogs,14,4.4,5,5,5,4,3,2,3.67,4,4,3,2,2.2,3,1,1,3,3,1,3.6,3,4,3,4,4,2,3.33,4,3,3,5,Tibet,9,11,12,15,12,15,10.0000054,13.4040896,31.6692025,87.473225
Lhasapoo,Medium,Mixed Breed Dogs,12,3,4,2,4,2,3,3,3.33,4,3,3,1,2.4,1,1,3,4,3,3,3.2,3,5,2,2,4,2,3.67,4,4,3,4,United States of America,9,13,10,15,10,15,11.00000594,12.3899644,39.7837304,-100.445882
Lowchen,Medium,Companion Dogs,14,3.2,5,4,3,1,3,3,4.67,5,5,4,4,3,3,1,3,5,3,1,4,5,4,3,4,4,5,3.67,4,3,4,5,Germany,12,14,9,18,13,15,13.00000702,13.4040896,51.1638175,10.4478313
Maltese,Small,Companion Dogs,14,3.2,5,5,4,1,1,3,4,5,3,4,2,2.2,2,1,2,3,3,1,3.8,4,4,3,4,4,1,2.67,3,3,2,4,Malta,8,10,7,9,12,15,9.00000486,6.944553,35.8885993,14.4476911
Maltese Shih Tzu,Small,Hybrid Dogs,13,3.6,5,5,3,3,2,2,3.33,4,3,3,3,1.8,1,1,2,2,3,1,4,4,3,4,5,4,1,2.67,3,2,3,3,United States of America,8,12,6,12,12,14,10.0000054,8.928711,39.7837304,-100.445882
Maltipoo,Medium,Hybrid Dogs,12,3.6,5,5,5,1,2,3,4.33,5,4,4,4,1.8,1,1,3,2,2,2,3.8,5,4,3,2,5,4,2.67,3,3,2,4,United States of America,8,14,5,20,10,13,11.00000594,12.3899644,39.7837304,-100.445882
Manchester Terrier,Medium,Terrier Dogs,15,3,5,3,3,3,1,3,3.33,4,3,3,3,3,3,1,5,2,4,2,3.2,2,4,2,4,4,4,4,4,4,4,4,England,15,16,12,22,14,16,15.50000837,16.865343,52.5310214,-1.2649062
Maremma Sheepdog,Very Large,Working Dogs,12,2.4,1,1,4,2,4,2,4,4,4,4,1,4,5,3,2,5,5,4,2.2,1,5,2,1,2,2,4,4,4,4,2,Italy,23,28,65,100,11,13,15.25197674,81.8354944,42.6384261,12.674297
Mastador,Very Large,Mixed Breed Dogs,11,2.8,1,2,4,3,4,2,4.33,5,5,3,3,4,4,4,4,4,4,4,3.2,4,4,4,2,2,2,4,4,4,4,4,United States of America,28,36,85,160,10,12,32.00001728,121.5186544,39.7837304,-100.445882
Mastiff,Very Large,Working Dogs,8,2.6,2,1,3,3,4,1,4,5,5,2,2,3.6,3,5,3,3,4,5,2.6,3,2,4,2,2,1,3.33,3,3,4,4,England,27,32,130,220,6,10,29.50001593,173.613825,52.5310214,-1.2649062
Miniature Pinscher,Small,Companion Dogs,12,3.2,5,3,5,2,1,3,3.33,5,3,2,3,3.2,2,1,5,3,5,1,3.2,3,3,2,3,5,5,3.67,4,3,4,5,Germany,10,12,8,11,10,14,11.00000594,9.4357736,51.1638175,10.4478313
Miniature Schnauzer,Medium,Terrier Dogs,13,4,4,3,4,5,4,4,3.67,5,3,3,3,2.4,2,1,2,3,4,2,3.6,5,4,2,4,3,3,4.33,5,3,5,4,Germany,13,14,11,20,12,14,13.50000729,15.3882476,51.1638175,10.4478313
Morkie,Small,Mixed Breed Dogs,12,2.4,3,2,3,2,2,3,3,4,3,2,3,2.6,1,1,3,4,4,1,4,3,4,5,3,5,2,3.67,4,3,4,5,United States of America,4,8,7,13,10,14,6.00000324,9.92079,39.7837304,-100.445882
