breed,breed_size,breed_group,avg_life_span_years,adaptability,adapts_well_to_apartment_living,good_for_novice_owners,sensitivity_level,tolerates_being_alone,tolerates_cold_weather,tolerates_hot_weather,all_around_friendliness,affectionate_with_family,kid_friendly,dog_friendly,friendly_toward_strangers,health_and_grooming_needs,amount_of_shedding,drooling_potential,easy_to_groom,general_health,potential_for_weight_gain,size,trainability,easy_to_train,intelligence,potential_for_mouthiness,prey_drive,tendency_to_bark_or_howl,wanderlust_potential,physical_needs,energy_level,intensity,exercise_needs,potential_for_playfulness,country_origin,height_min,height_max,weight_min,weight_max,life_span_min,life_span_max,avg_height,avg_weight,lat,long
Bullmastiff,Very Large,Working Dogs,9,3,3,2,4,2,4,2,4.67,5,5,4,3,3.6,1,5,5,2,5,5,3.2,3,3,3,3,4,3,3,2,4,3,5,England,24,27,100,130,8,10,25.50001377,114.089085,52.5310214,-1.2649062
Bullmatian,Very Large,Mixed Breed Dogs,10,2.2,2,1,3,3,2,2,4.33,4,5,4,3,3.4,2,3,4,4,4,3,2.6,1,4,3,3,2,3,4.33,5,4,4,4,United States of America,11,24,41,65,8,12,17.50000945,52.580187,39.7837304,-100.445882
Cairn Terrier,Medium,Terrier Dogs,14,3.4,5,4,3,1,4,4,4.67,5,5,4,4,3.2,3,1,5,4,3,1,3.6,2,5,3,4,4,3,4.33,5,4,4,5,Scotland,9,10,13,14,12,15,9.50000513,13.4040896,56.7861112,-4.1140518
Canaan Dog,Very Large,Herding Dogs,14,3.2,4,2,4,3,3,5,3,4,2,3,2,3.4,4,1,5,5,2,3,3.6,5,4,3,3,3,2,3.33,4,3,3,4,Israel,19,24,35,55,12,15,21.50001161,44.643555,30.8124247,34.8594762
Cane Corso,Very Large,Working Dogs,11,1.8,1,1,3,1,3,4,3,4,2,3,2,3.8,3,4,5,3,4,4,3.8,4,5,2,5,3,2,4,4,3,5,2,Italy,23,27,90,120,10,12,25.0000135,104.168295,42.6384261,12.674297
Cardigan Welsh Corgi,Large,Herding Dogs,14,3.8,4,4,4,3,4,3,4,5,4,3,3,3.2,4,1,3,4,4,2,3.8,4,5,2,4,4,3,3,3,3,3,4,Wales,10,12,25,38,12,15,11.00000594,31.2615116,52.2928116,-3.73893
Carolina Dog,Large,Hound Dogs,14,2.2,2,2,2,1,4,4,3.33,2,3,5,2,3.8,4,2,4,5,4,3,2.8,2,4,2,5,1,3,4.33,4,5,4,3,United States of America,18,20,33,55,12,15,19.00001026,43.651476,39.7837304,-100.445882
Catahoula Bulldog,Very Large,Mixed Breed Dogs,12,1.6,1,1,2,3,1,5,3,4,3,2,1,2.8,1,1,5,4,3,4,3.4,2,3,4,5,3,3,5,5,5,5,4,United States of America,24,26,75,100,10,14,25.0000135,86.8179356,39.7837304,-100.445882
Catahoula Leopard Dog,Very Large,Herding Dogs,12,1.8,1,1,2,2,3,3,3,5,3,1,1,3,3,1,5,3,3,4,2.4,2,3,3,1,3,3,4,4,3,5,2,United States of America,20,26,50,90,10,14,23.00001242,69.44553,39.7837304,-100.445882
Caucasian Shepherd Dog,Very Large,Working Dogs,11,2.6,2,1,2,3,5,2,2.67,4,2,2,2,3.4,4,4,2,3,4,5,3.2,2,4,4,3,3,2,2.67,2,4,2,3,Russia ,24,34,80,220,10,12,21.50001161,54.564345,64.6863136,97.7453061
